name	RunNr	Day1	Month1	Year1	Rain	ETo	GD	CO2	Irri	Infilt	Runoff	Drain	Upflow	E	E/Ex	Tr	TrW	Tr/Trx	SaltIn	SaltOut	SaltUp	SaltProf	Cycle	SaltStr	FertStr	WeedStr	TempStr	ExpStr	StoStr	BioMass	Brelative	HI	Yield	WPet	DayN	MonthN	YearN	prm.file	climate.model	location	rcp	crop	irrigation	soil
1206_RCP45_net_15April_loamPRMseason.OUT	Tot(1)	15	4	2017	1203.2	445.7	1566.3	404	153.9	1203.2	0	970.9	0	229	81	152.8	152.8	100	0	0	0	0	123	0	0	0	10	0	0	17.745	99	30	5.324	1.4	23	8	2017	1206_RCP45_net_15April_loam.PRM	1206(rcp45)	1206	rcp45	MaizeNEPAL	MaizeInetNEPAL	Loam
1206_RCP45_net_15April_loamPRMseason.OUT	Tot(2)	15	4	2018	1641.6	431.2	1564.5	407	136.2	1641.6	0	1398.5	0	240.5	86	135.9	135.9	100	0	0	0	0	136	0	0	0	18	0	0	18.114	99	30	5.434	1.45	6	9	2018	1206_RCP45_net_15April_loam.PRM	1206(rcp45)	1206	rcp45	MaizeNEPAL	MaizeInetNEPAL	Loam
1206_RCP45_net_15April_loamPRMseason.OUT	Tot(3)	15	4	2019	944.1	469.5	1562.1	409	228.6	944.1	0	716.6	0	238.6	84	182.9	182.9	100	0	0	0	0	121	0	0	0	11	1	0	17.194	99	30	5.158	1.23	22	8	2019	1206_RCP45_net_15April_loam.PRM	1206(rcp45)	1206	rcp45	MaizeNEPAL	MaizeInetNEPAL	Loam
1206_RCP45_net_15April_loamPRMseason.OUT	Tot(4)	15	4	2020	1246.7	433.2	1564.5	411	135.4	1246.7	0	1000	0	235.5	83	139.3	139.3	100	0	0	0	0	129	0	0	0	15	0	0	17.987	99	30	5.396	1.45	31	8	2020	1206_RCP45_net_15April_loam.PRM	1206(rcp45)	1206	rcp45	MaizeNEPAL	MaizeInetNEPAL	Loam
1206_RCP45_net_15April_loamPRMseason.OUT	Tot(5)	15	4	2021	2148.2	343.9	1563.4	413	33.4	2148.2	0	1859.3	0	203.7	91	90.9	90.9	100	0	0	0	0	141	0	0	0	20	0	0	18.531	99	30	5.559	1.89	13	9	2021	1206_RCP45_net_15April_loam.PRM	1206(rcp45)	1206	rcp45	MaizeNEPAL	MaizeInetNEPAL	Loam
1206_RCP45_net_15April_loamPRMseason.OUT	Tot(6)	15	4	2022	1677	386.5	1561.9	416	62.1	1677	0	1400.7	0	212.4	85	114.7	114.7	100	0	0	0	0	138	0	0	0	19	0	0	18.423	99	30	5.527	1.69	7	9	2022	1206_RCP45_net_15April_loam.PRM	1206(rcp45)	1206	rcp45	MaizeNEPAL	MaizeInetNEPAL	Loam
1206_RCP45_net_15April_loamPRMseason.OUT	Tot(7)	15	4	2023	1564.7	381.2	1564.8	418	76.7	1564.7	0	1278.9	0	222.3	91	110.3	110.3	100	0	0	0	0	136	0	0	0	17	0	0	18.484	99	30	5.545	1.67	6	9	2023	1206_RCP45_net_15April_loam.PRM	1206(rcp45)	1206	rcp45	MaizeNEPAL	MaizeInetNEPAL	Loam
1206_RCP45_net_15April_loamPRMseason.OUT	Tot(8)	15	4	2024	1003.7	446	1561.2	420	130.8	1003.7	0	735.8	0	245.5	89	142.9	142.9	100	0	0	0	0	130	0	0	0	14	0	0	18.297	99	30	5.489	1.42	31	8	2024	1206_RCP45_net_15April_loam.PRM	1206(rcp45)	1206	rcp45	MaizeNEPAL	MaizeInetNEPAL	Loam
1206_RCP45_net_15April_loamPRMseason.OUT	Tot(9)	15	4	2025	1387.6	474.2	1558.5	423	249.7	1387.6	0	1195.8	0	273.9	85	148.7	148.7	100	0	0	0	0	124	0	0	0	12	1	0	17.937	99	30	5.381	1.28	23	8	2025	1206_RCP45_net_15April_loam.PRM	1206(rcp45)	1206	rcp45	MaizeNEPAL	MaizeInetNEPAL	Loam
1206_RCP45_net_15April_loamPRMseason.OUT	Tot(10)	15	4	2026	1732.4	420.1	1559.4	425	71.2	1732.4	0	1441.1	0	209.3	78	133.4	133.4	100	0	0	0	0	129	0	0	0	15	0	0	18.175	99	30	5.453	1.6	29	8	2026	1206_RCP45_net_15April_loam.PRM	1206(rcp45)	1206	rcp45	MaizeNEPAL	MaizeInetNEPAL	Loam
1206_RCP45_net_15April_loamPRMseason.OUT	Tot(11)	15	4	2027	1387	435.3	1567.1	428	202.1	1387	0	1168.2	0	210.9	81	175.5	175.5	100	0	0	0	0	118	0	0	0	9	1	0	17.446	99	30	5.234	1.36	17	8	2027	1206_RCP45_net_15April_loam.PRM	1206(rcp45)	1206	rcp45	MaizeNEPAL	MaizeInetNEPAL	Loam
1206_RCP45_net_15April_loamPRMseason.OUT	Tot(12)	15	4	2028	1448.2	411.4	1557.9	430	62.7	1448.2	0	1130.2	0	229.9	90	128.1	128.1	100	0	0	0	0	132	0	0	0	15	0	0	18.392	99	30	5.518	1.55	3	9	2028	1206_RCP45_net_15April_loam.PRM	1206(rcp45)	1206	rcp45	MaizeNEPAL	MaizeInetNEPAL	Loam
1206_RCP45_net_15April_loamPRMseason.OUT	Tot(13)	15	4	2029	1450.9	459	1557.2	433	145.6	1450.9	0	1206.7	0	226.3	81	168.7	168.7	100	0	0	0	0	124	0	0	0	12	0	0	17.541	99	30	5.262	1.33	23	8	2029	1206_RCP45_net_15April_loam.PRM	1206(rcp45)	1206	rcp45	MaizeNEPAL	MaizeInetNEPAL	Loam
1206_RCP45_net_15April_loamPRMseason.OUT	Tot(14)	15	4	2030	1566.2	399.1	1566.5	435	63.4	1566.2	0	1284.6	0	232.5	89	116.9	116.9	100	0	0	0	0	135	0	0	0	17	0	0	18.509	99	30	5.553	1.6	4	9	2030	1206_RCP45_net_15April_loam.PRM	1206(rcp45)	1206	rcp45	MaizeNEPAL	MaizeInetNEPAL	Loam
1206_RCP45_net_15April_loamPRMseason.OUT	Tot(15)	15	4	2031	1318.1	490.5	1558.3	438	201.1	1318.1	0	1056.8	0	254.9	85	181.1	181.1	100	0	0	0	0	126	0	0	0	15	1	0	17.528	99	30	5.258	1.21	26	8	2031	1206_RCP45_net_15April_loam.PRM	1206(rcp45)	1206	rcp45	MaizeNEPAL	MaizeInetNEPAL	Loam
1206_RCP45_net_15April_loamPRMseason.OUT	Tot(16)	15	4	2032	1541.8	423	1562.3	440	94.3	1541.8	0	1277.1	0	231.1	86	135.4	135.4	100	0	0	0	0	127	0	0	0	13	0	0	18.079	99	30	5.424	1.49	28	8	2032	1206_RCP45_net_15April_loam.PRM	1206(rcp45)	1206	rcp45	MaizeNEPAL	MaizeInetNEPAL	Loam
