Day	Month	Year	DAP	Stage	Rain.x	ETo	Tmin	Tavg	Tmax	CO2	ECe1	ECe2	ECe3	ECe4	ECe5	ECe6	ECe7	ECe8	ECe9	ECe10	ECe11	ECe12	WC1(vol%)	WC2(vol%)	WC3(vol%)	WC4(vol%)	WC5(vol%)	WC6(vol%)	WC7(vol%)	WC8(vol%)	WC9(vol%)	WC10(vol%)	WC11(vol%)	WC12(vol%)	GD	Z.x	StExp	StSto	StSen	StSalt.x	StWeed	CC	CCw	StTr	Kc(Tr)	Trx.x	Tr.x	TrW	Tr/Trx.x	WP	Biomass	HI	YieldPart	Brelative	WPet	E.x	Trx.y	ET.x	Rain.y	Inet	WCTot.x	Wr(Zx)	Z.y	Wr	Wr(SAT)	Wr(FC)	Wr(exp)	Wr(sto)	Wr(sen)	Wr(PWP)	SaltIn	SaltOut	SaltUp	SaltTot	SaltZ	Z	ECe	ECsw	StSalt.y	Zgwt.x	ECgw	WCTot.y	Rain	Irri	Surf	Infilt	RO	Drain	CR	Zgwt.y	Ex	E.y	E/Ex	Trx	Tr.y	Tr/Trx.y	ETx	ET.y	ET/ETx
15	4	2017	1	1	0	6	8.3	16.7	25.1	404	0	0	0	0	0	0	0	0	0	0	0	0	26.1	31	31	31	31	31	31	31	31	31	31	31	8.7	0.3	-9	-9	-9	0	-9	0	0	0	-9	0	0	0	100	34.6	0	-9.9	0	-9	0	4.9	0	4.9	0	0	367.1	305.1	0.3	88.1	138	93	86.3	61	59.9	45	0	0	0	0	0	0.3	0	0	0	-9.9	-9	367.1	0	0	0	0	0	0	0	-9.9	6.6	4.9	74	0	0	100	6.6	4.9	74
16	4	2017	2	1	0	5.6	10.9	18.4	25.8	404	0	0	0	0	0	0	0	0	0	0	0	0	23.2	31	31	31	31	31	31	31	31	31	31	31	10.4	0.3	-9	-9	-9	0	-9	0	0	0	-9	0	0	0	100	34.6	0	-9.9	0	-9	0	2.9	0	2.9	0	0	364.2	302.2	0.3	85.2	138	93	86.3	60.5	59.9	45	0	0	0	0	0	0.3	0	0	0	-9.9	-9	364.2	0	0	0	0	0	0	0	-9.9	6.2	2.9	47	0	0	100	6.2	2.9	47
17	4	2017	3	1	0	6.1	12.5	19.6	26.8	404	0	0	0	0	0	0	0	0	0	0	0	0	20.9	31	31	31	31	31	31	31	31	31	31	31	11.6	0.3	-9	-9	-9	0	-9	0	0	0	-9	0	0	0	100	34.6	0	-9.9	0	-9	0	2.3	0	2.3	0	0	361.9	299.9	0.3	82.9	138	93	86.3	61.1	59.9	45	0	0	0	0	0	0.3	0	0	0	-9.9	-9	361.9	0	0	0	0	0	0	0	-9.9	6.7	2.3	35	0	0	100	6.7	2.3	35
18	4	2017	4	1	0.1	5.2	11.6	18.9	26.1	404	0	0	0	0	0	0	0	0	0	0	0	0	17.3	31	31	31	31	31	31	31	31	31	31	31	10.9	0.3	-9	-9	-9	0	-9	0	0	0	-9	0	0	0	100	34.6	0	-9.9	0	-9	0	3.7	0	3.7	0.1	0	358.3	296.3	0.3	79.3	138	93	86.3	60.1	59.9	45	0	0	0	0	0	0.3	0	0	0	-9.9	-9	358.3	0.1	0	0	0.1	0	0	0	-9.9	5.7	3.7	64	0	0	100	5.7	3.7	64
19	4	2017	5	1	0	6.2	10.9	19.1	27.4	404	0	0	0	0	0	0	0	0	0	0	0	0	14.6	31	31	31	31	31	31	31	31	31	31	31	11.1	0.3	-9	-9	-9	0	-9	0	0	0	-9	0	0	0	100	34.6	0	-9.9	0	-9	0	2.7	0	2.7	0	0	355.6	293.6	0.3	76.6	138	93	86.3	61.2	59.9	45	0	0	0	0	0	0.3	0	0	0	-9.9	-9	355.6	0	0	0	0	0	0	0	-9.9	6.8	2.7	39	0	0	100	6.8	2.7	39
20	4	2017	6	1	0	6.6	10.9	19.1	27.3	404	0	0	0	0	0	0	0	0	0	0	0	0	12.7	31	31	31	31	31	31	31	31	31	31	31	11.1	0.3	-9	-9	-9	0	-9	0	0	0	-9	0	0	0	100	34.6	0	-9.9	0	-9	0	1.9	0	1.9	0	0	353.7	291.7	0.3	74.7	138	93	86.3	61.7	59.9	45	0	0	0	0	0	0.3	0	0	0	-9.9	-9	353.7	0	0	0	0	0	0	0	-9.9	7.3	1.9	27	0	0	100	7.3	1.9	27
21	4	2017	7	1	0	7.2	11	19.9	28.7	404	0	0	0	0	0	0	0	0	0	0	0	0	11.1	31	31	31	31	31	31	31	31	31	31	31	11.9	0.3	-9	-9	-9	0	-9	0	0	0	-9	0	0	0	100	34.6	0	-9.9	0	-9	0	1.6	0	1.6	0	0	352.1	290.1	0.3	73.1	138	93	86.3	62.3	59.9	45	0	0	0	0	0	0.3	0	0	0	-9.9	-9	352.1	0	0	0	0	0	0	0	-9.9	7.9	1.6	20	0	0	100	7.9	1.6	20
22	4	2017	8	1	0	7.2	11.7	20.1	28.5	404	0	0	0	0	0	0	0	0	0	0	0	0	29	29	29	31	31	31	31	31	31	31	31	31	12.1	0.3	-9	0	0	0	0	0.6	0.6	9	0.01	0.1	0.1	0.1	100	34.6	0.003	-9.9	0	100	0	1.2	0.1	1.3	0	15.1	365.9	303.9	0.3	86.9	138	93	90.3	62.3	62.3	45	0	0	0	0	0	0.3	0	0	0	-9.9	-9	365.9	0	15.1	0	0	0	0	0	-9.9	7.8	1.2	16	0.1	0.1	100	7.9	1.3	17
23	4	2017	9	2	0	7	13.3	21.2	29.1	404	0	0	0	0	0	0	0	0	0	0	0	0	28.9	28.9	28.9	31	31	31	31	31	31	31	31	31	13.2	0.3	-9	0	0	0	0	0.7	0.7	5	0.01	0.1	0.1	0.1	100	34.6	0.008	-9.9	0	100	0	7.5	0.1	7.5	0	7.5	365.8	303.8	0.3	86.8	138	93	89.9	62.1	62.1	45	0	0	0	0	0	0.3	0	0	0	-9.9	-9	365.8	0	7.5	0	0	0	0	0	-9.9	7.6	7.5	98	0.1	0.1	100	7.7	7.5	98
24	4	2017	10	2	0	5.9	14.7	21.8	28.9	404	0	0	0	0	0	0	0	0	0	0	0	0	28.9	28.9	28.9	30.8	31	31	31	31	31	31	31	31	13.8	0.31	-9	0	0	0	0	0.8	0.8	4	0.01	0.1	0.1	0.1	100	34.6	0.012	-9.9	0	100	0	6.4	0.1	6.5	0	6	365.3	303.3	0.31	89.9	143	96.4	91.1	63.1	63.1	46.6	0	0	0	0	0	0.31	0	0	0	-9.9	-9	365.3	0	6	0	0	0	0	0	-9.9	6.4	6.4	100	0.1	0.1	100	6.5	6.5	100
